datetime,hour,day,month,weekday,aqi_us,aqi_cn,main_pollutant,temp,humidity,pressure,wind_speed,wind_direction,openweather_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-07-15 11:17:00,11,15,7,1,64,23,p2,29,77,998,6.98,257,4,78.71,0.01,0.06,43.26,0.45,25.15,114.93,0
2025-07-15 12:17:00,12,15,7,1,67,25,p2,29,76,998,6.17,242,4,77.09,0.01,0.07,42.99,0.47,24.94,113.9,0
2025-07-15 13:17:00,13,15,7,1,66,24,p2,29,77,998,6.28,239,4,77.72,0.01,0.07,42.57,0.41,23.23,105.35,0
2025-07-15 14:17:00,14,15,7,1,66,25,p2,28,78,999,6.14,242,4,76.73,0.0,0.09,42.36,0.43,23.15,105.42,0
2025-07-15 16:17:00,16,15,7,1,64,23,p2,28,79,1000,7.09,241,4,76.89,0.0,0.09,43.13,0.45,23.34,106.05,0
2025-07-15 17:17:00,17,15,7,1,75,31,p2,28,78,1001,6.75,246,4,77.95,0.0,0.09,43.81,0.45,23.72,107.12,0
2025-07-15 18:17:00,18,15,7,1,75,32,p2,28,79,1001,6.67,247,4,78.89,0.0,0.09,44.1,0.46,24.3,108.86,0
2025-07-15 19:17:00,19,15,7,1,74,31,p2,28,79,1001,6.19,250,4,79.22,0.0,0.09,43.92,0.47,24.97,110.81,0
2025-07-15 20:17:00,20,15,7,1,65,24,p2,28,79,1001,5.63,251,4,79.27,0.0,0.09,43.65,0.47,25.81,113.47,0
2025-07-15 21:17:00,21,15,7,1,68,26,p2,28,77,1000,5.59,257,4,79.27,0.0,0.1,43.4,0.47,26.68,116.94,0
2025-07-15 22:17:00,22,15,7,1,66,25,p2,28,76,1000,6.31,260,4,79.64,0.0,0.09,43.42,0.46,27.63,120.91,0
2025-07-15 23:17:00,23,15,7,1,64,23,p2,28,76,1000,6.83,267,4,79.76,0.0,0.09,43.37,0.45,28.47,124.65,0
2025-07-16 01:17:00,1,16,7,2,71,29,p2,28,76,1000,5.72,263,4,78.25,0.0,0.1,42.45,0.45,29.95,130.68,0
2025-07-16 02:17:00,2,16,7,2,67,26,p2,28,77,1001,5.68,262,4,77.34,0.0,0.1,41.99,0.44,30.5,132.9,0
2025-07-16 03:17:00,3,16,7,2,78,34,p2,28,76,1001,5.39,263,4,76.72,0.01,0.1,41.8,0.44,30.85,134.43,0
2025-07-16 04:17:00,4,16,7,2,64,23,p2,28,76,1001,5.11,255,4,76.33,0.01,0.08,41.89,0.42,30.95,135.05,0
2025-07-16 05:17:00,5,16,7,2,71,28,p2,29,75,1001,5.33,242,4,76.3,0.01,0.07,42.08,0.41,30.88,134.83,0
2025-07-16 06:17:00,6,16,7,2,64,23,p2,29,74,1001,5.73,237,4,76.38,0.01,0.06,42.09,0.4,30.56,133.21,0
2025-07-16 07:17:00,7,16,7,2,66,24,p2,29,74,1001,6.06,234,4,75.88,0.01,0.05,41.38,0.41,29.92,129.72,0
2025-07-16 08:17:00,8,16,7,2,69,27,p2,29,72,1001,6.48,228,4,76.19,0.01,0.05,40.92,0.4,29.35,128.58,0
2025-07-16 09:17:00,9,16,7,2,73,30,p2,29,72,1000,6.87,226,4,75.64,0.01,0.05,39.95,0.4,28.66,125.77,0
2025-07-16 10:17:00,10,16,7,2,67,25,p2,29,72,1000,6.97,225,4,75.09,0.01,0.05,39.26,0.41,28.02,123.44,0
2025-07-16 11:17:00,11,16,7,2,59,19,p2,29,73,999,6.9,230,4,74.6,0.01,0.05,38.92,0.41,27.31,121.1,0
2025-07-16 12:17:00,12,16,7,2,68,26,p2,29,74,999,6.38,235,4,74.75,0.01,0.06,39.16,0.42,26.68,119.4,0
2025-07-16 13:17:00,13,16,7,2,69,26,p2,29,75,999,6.49,234,4,74.32,0.01,0.06,38.2,0.4,24.89,109.89,0
2025-07-16 14:17:00,14,16,7,2,61,21,p2,29,74,1000,6.49,236,4,74.83,0.0,0.07,38.8,0.4,24.58,109.19,0
2025-07-16 15:17:00,15,16,7,2,66,24,p2,28,75,1000,6.28,236,4,75.26,0.0,0.08,39.37,0.41,24.55,109.32,0
2025-07-16 16:17:00,16,16,7,2,70,28,p2,28,76,1001,6.09,240,4,75.55,0.0,0.08,39.83,0.42,24.73,110.21,0
2025-07-16 17:17:00,17,16,7,2,77,33,p2,28,74,1001,5.31,250,4,76.03,0.0,0.08,40.33,0.42,25.04,111.52,0
2025-07-16 18:17:00,18,16,7,2,76,32,p2,28,75,1002,5.2,237,4,76.51,0.0,0.08,40.87,0.42,25.46,113.56,0
2025-07-16 19:17:00,19,16,7,2,74,31,p2,28,71,1001,5.76,241,4,77.09,0.0,0.08,41.55,0.41,25.98,115.48,0
2025-07-16 20:17:00,20,16,7,2,74,30,p2,28,72,1001,5.14,247,4,77.76,0.0,0.08,42.24,0.41,26.65,117.45,0
2025-07-16 21:17:00,21,16,7,2,65,24,p2,28,74,1000,5.24,246,4,78.12,0.0,0.08,42.77,0.42,27.38,118.99,0
2025-07-16 22:17:00,22,16,7,2,68,26,p2,28,75,1000,5.82,246,4,78.31,0.0,0.09,42.92,0.43,28.11,119.44,0
2025-07-16 23:17:00,23,16,7,2,68,26,p2,28,76,1000,5.53,250,4,78.15,0.0,0.09,42.73,0.44,28.88,120.59,0
2025-07-17 00:17:00,0,17,7,3,66,24,p2,28,77,1000,4.59,249,4,77.75,0.0,0.09,42.46,0.45,29.64,122.59,0
2025-07-17 01:17:00,1,17,7,3,66,24,p2,28,73,1001,4.22,248,4,77.55,0.0,0.09,42.39,0.45,30.37,126.75,0
2025-07-17 02:17:00,2,17,7,3,66,24,p2,28,74,1002,4.41,244,4,77.55,0.0,0.1,42.62,0.45,30.94,131.06,0
2025-07-17 03:17:00,3,17,7,3,61,21,p2,28,74,1003,5.05,236,4,77.77,0.0,0.11,43.24,0.45,31.61,134.71,0
2025-07-17 04:17:00,4,17,7,3,68,26,p2,28,73,1003,4.75,231,4,77.53,0.01,0.1,43.25,0.44,31.02,133.99,0
2025-07-17 05:17:00,5,17,7,3,67,25,p2,28,72,1003,4.67,230,4,77.53,0.01,0.09,43.47,0.43,30.5,132.8,0
2025-07-17 06:17:00,6,17,7,3,65,24,p2,29,71,1003,5.19,220,4,77.43,0.01,0.08,43.54,0.42,29.87,131.2,0
2025-07-17 07:17:00,7,17,7,3,79,34,p2,29,71,1002,5.3,224,4,77.17,0.01,0.07,43.3,0.41,29.11,129.0,0
2025-07-17 08:17:00,8,17,7,3,69,27,p2,29,71,1002,5.39,228,4,76.59,0.01,0.07,42.56,0.41,28.37,127.05,0
2025-07-17 09:17:00,9,17,7,3,78,34,p2,29,70,1002,5.02,221,4,75.87,0.01,0.06,41.47,0.41,27.54,124.69,0
2025-07-17 10:17:00,10,17,7,3,70,28,p2,30,71,1001,5.63,225,4,75.33,0.01,0.06,40.43,0.41,26.77,122.2,0
2025-07-17 11:17:00,11,17,7,3,71,29,p2,30,71,1001,6.12,225,4,75.38,0.01,0.06,39.93,0.41,25.94,119.54,0
2025-07-17 12:17:00,12,17,7,3,64,23,p2,29,72,1000,5.9,233,4,75.18,0.01,0.07,39.27,0.4,25.12,116.59,0
2025-07-17 13:17:00,13,17,7,3,66,24,p2,29,74,1001,5.88,234,4,76.68,0.0,0.07,40.17,0.36,23.77,110.32,0
2025-07-17 14:17:00,14,17,7,3,63,22,p2,29,77,1001,5.68,233,4,77.26,0.0,0.08,40.42,0.35,23.06,107.04,0
2025-07-17 15:17:00,15,17,7,3,64,23,p2,28,78,1002,5.99,233,4,77.71,0.0,0.08,40.65,0.34,22.46,104.31,0
2025-07-17 16:17:00,16,17,7,3,66,25,p2,28,78,1002,5.51,238,4,77.94,0.0,0.08,40.74,0.33,21.95,101.99,0
2025-07-17 17:17:00,17,17,7,3,65,24,p2,28,77,1003,6.08,231,4,78.13,0.0,0.08,40.9,0.33,21.59,100.38,0
2025-07-17 18:17:00,18,17,7,3,68,26,p2,28,77,1003,5.69,229,3,78.54,0.0,0.08,41.14,0.34,21.3,98.97,0
2025-07-17 19:17:00,19,17,7,3,73,30,p2,28,77,1003,5.43,241,3,78.88,0.0,0.07,41.49,0.34,20.89,96.81,0
2025-07-17 20:17:00,20,17,7,3,72,29,p2,28,77,1002,5.67,252,3,79.48,0.0,0.07,42.11,0.33,20.56,94.67,0
2025-07-17 21:17:00,21,17,7,3,65,24,p2,28,77,1002,5.68,251,3,79.88,0.0,0.07,42.53,0.33,20.61,94.4,0
2025-07-17 22:17:00,22,17,7,3,66,24,p2,28,76,1002,5.31,254,3,79.87,0.0,0.07,42.63,0.33,21.2,96.67,0
2025-07-17 23:17:00,23,17,7,3,67,26,p2,28,76,1001,5.14,249,4,80.06,0.0,0.07,42.6,0.34,22.09,100.16,0
2025-07-18 00:17:00,0,18,7,4,72,29,p2,28,76,1002,5.26,250,4,80.12,0.0,0.07,42.61,0.34,22.86,102.95,0
2025-07-18 01:17:00,1,18,7,4,71,29,p2,28,76,1002,5.62,252,4,80.29,0.0,0.07,42.83,0.32,23.1,103.38,0
2025-07-18 02:17:00,2,18,7,4,69,27,p2,28,76,1003,5.44,252,4,80.79,0.0,0.07,43.33,0.31,23.06,102.41,0
2025-07-18 03:17:00,3,18,7,4,68,26,p2,28,74,1003,5.77,251,4,81.15,0.0,0.08,43.92,0.29,22.93,100.88,0
2025-07-18 04:17:00,4,18,7,4,68,26,p2,28,73,1004,5.8,259,3,81.17,0.01,0.07,44.18,0.28,22.68,99.03,0
2025-07-18 05:17:00,5,18,7,4,66,24,p2,29,71,1004,5.02,252,3,81.14,0.01,0.06,44.12,0.26,22.55,97.75,0
2025-07-18 07:17:00,7,18,7,4,82,36,p2,30,68,1003,5.41,249,3,80.6,0.01,0.05,42.7,0.24,22.43,95.91,0
2025-07-18 08:17:00,8,18,7,4,71,28,p2,30,67,1002,5.63,245,3,79.97,0.01,0.04,41.58,0.23,22.26,94.67,0
2025-07-18 09:17:00,9,18,7,4,63,22,p2,30,68,1002,5.66,246,3,79.32,0.01,0.04,40.56,0.23,22.02,93.4,0
2025-07-18 10:17:00,10,18,7,4,70,27,p2,30,69,1001,5.77,243,3,78.94,0.01,0.05,39.84,0.22,21.81,92.37,0
2025-07-18 11:17:00,11,18,7,4,73,30,p2,30,69,1001,5.75,242,3,78.18,0.01,0.05,39.27,0.23,21.55,91.54,0
2025-07-18 12:17:00,12,18,7,4,68,26,p2,29,71,1001,5.8,238,3,76.6,0.01,0.06,38.74,0.26,22.42,96.0,0
2025-07-18 13:17:00,13,18,7,4,84,39,p2,29,73,1001,6.37,233,3,77.17,0.0,0.07,38.76,0.23,20.36,81.73,0
2025-07-18 14:17:00,14,18,7,4,64,23,p2,29,76,1001,5.82,229,3,77.41,0.0,0.08,39.66,0.25,20.86,87.0,0
2025-07-18 15:17:00,15,18,7,4,68,26,p2,29,77,1002,5.03,236,3,77.38,0.0,0.09,39.58,0.24,19.66,81.89,0
2025-07-18 16:17:00,16,18,7,4,62,22,p2,28,79,1002,5.17,249,3,77.6,0.0,0.09,40.19,0.24,19.42,81.99,0
2025-07-18 17:17:00,17,18,7,4,66,24,p2,28,80,1002,5.64,235,3,77.97,0.0,0.09,40.83,0.26,19.48,82.86,0
2025-07-18 18:17:00,18,18,7,4,67,25,p2,28,81,1002,6.28,226,3,78.26,0.0,0.09,41.41,0.27,19.75,84.11,0
2025-07-18 19:17:00,19,18,7,4,68,26,p2,28,81,1002,6.08,242,3,78.62,0.0,0.09,41.88,0.28,19.92,84.5,0
2025-07-18 20:17:00,20,18,7,4,70,28,p2,28,81,1001,6.26,257,3,79.32,0.0,0.09,42.39,0.29,19.98,84.04,0
2025-07-18 21:17:00,21,18,7,4,67,25,p2,28,82,1000,6.62,267,3,80.02,0.0,0.08,42.79,0.3,20.14,83.93,0
2025-07-18 22:17:00,22,18,7,4,65,24,p2,28,82,1000,6.95,271,3,80.51,0.0,0.09,43.01,0.33,21.08,86.03,0
2025-07-18 23:17:00,23,18,7,4,67,25,p2,28,83,1000,7.14,271,3,80.7,0.0,0.08,43.18,0.31,20.05,76.55,0
2025-07-19 00:17:00,0,19,7,5,68,26,p2,28,82,1000,7.2,271,3,80.81,0.0,0.08,43.27,0.31,20.02,74.56,0
2025-07-19 01:17:00,1,19,7,5,63,22,p2,28,83,1000,7.32,273,3,81.19,0.0,0.08,43.4,0.31,19.9,74.98,0
2025-07-19 02:17:00,2,19,7,5,67,25,p2,28,82,1000,7.81,276,3,81.54,0.0,0.08,43.62,0.31,19.67,74.69,0
2025-07-19 03:17:00,3,19,7,5,63,23,p2,28,81,1001,7.83,275,3,81.95,0.0,0.09,43.9,0.3,19.43,73.18,0
2025-07-19 04:17:00,4,19,7,5,69,27,p2,28,79,1000,7.62,270,3,81.77,0.01,0.08,43.93,0.3,19.41,73.0,0
2025-07-19 05:17:00,5,19,7,5,63,22,p2,29,78,1000,7.13,263,3,81.11,0.01,0.07,43.5,0.3,20.02,76.17,0
2025-07-19 06:17:00,6,19,7,5,69,27,p2,29,77,1000,6.81,260,3,80.0,0.01,0.07,42.75,0.31,21.06,81.46,0
2025-07-19 07:17:00,7,19,7,5,82,37,p2,29,78,999,7.76,262,3,78.81,0.01,0.06,41.96,0.33,22.16,87.24,0
2025-07-19 08:17:00,8,19,7,5,69,27,p2,29,77,998,7.49,261,3,77.54,0.01,0.06,41.29,0.34,22.91,91.6,0
2025-07-19 09:17:00,9,19,7,5,75,31,p2,29,75,998,7.59,259,3,76.74,0.01,0.06,40.73,0.34,23.32,94.59,0
2025-07-19 10:17:00,10,19,7,5,79,34,p2,29,75,997,7.94,254,4,76.58,0.01,0.06,40.85,0.36,24.45,101.35,0
2025-07-19 11:17:00,11,19,7,5,67,25,p2,29,75,997,7.76,245,3,76.56,0.01,0.07,40.5,0.36,23.34,97.14,0
2025-07-19 12:17:00,12,19,7,5,62,22,p2,29,77,997,7.93,244,3,76.72,0.01,0.08,40.59,0.37,22.83,96.61,0
2025-07-19 13:17:00,13,19,7,5,69,27,p2,28,80,997,8.35,236,3,78.63,0.0,0.08,40.54,0.32,21.01,78.36,0
2025-07-19 14:17:00,14,19,7,5,65,24,p2,28,81,997,8.29,235,3,80.06,0.0,0.08,41.32,0.32,19.8,74.52,0
2025-07-19 15:17:00,15,19,7,5,70,27,p2,28,81,998,6.77,228,3,81.72,0.0,0.09,42.05,0.33,18.26,70.16,0
2025-07-19 16:17:00,16,19,7,5,69,27,p2,28,82,998,6.62,218,3,83.79,0.0,0.09,42.72,0.33,16.54,65.3,0
2025-07-19 17:17:00,17,19,7,5,75,31,p2,28,82,998,7.55,252,3,85.9,0.0,0.08,43.27,0.34,15.03,60.86,0
2025-07-19 18:17:00,18,19,7,5,83,38,p2,28,82,999,7.1,251,3,87.79,0.0,0.09,43.47,0.36,14.44,59.52,0
2025-07-19 19:17:00,19,19,7,5,78,33,p2,28,82,999,6.34,262,3,89.22,0.0,0.09,43.34,0.38,14.35,57.75,0
2025-07-19 20:17:00,20,19,7,5,74,31,p2,28,81,998,5.77,268,3,90.28,0.0,0.09,43.17,0.38,14.65,57.97,0
2025-07-19 21:17:00,21,19,7,5,71,28,p2,28,81,997,6.78,256,3,90.71,0.0,0.1,42.98,0.38,14.83,58.93,0
2025-07-19 22:17:00,22,19,7,5,67,25,p2,28,82,997,7.78,272,3,90.22,0.0,0.1,42.78,0.37,14.84,60.3,0
2025-07-19 23:17:00,23,19,7,5,64,23,p2,28,81,997,7.36,268,3,88.53,0.0,0.1,42.19,0.37,14.94,62.31,0
2025-07-20 00:17:00,0,20,7,6,64,23,p2,28,81,998,6.75,273,3,85.95,0.0,0.1,41.11,0.37,15.39,64.95,0
2025-07-20 01:17:00,1,20,7,6,64,23,p2,28,82,998,7.21,284,3,83.73,0.0,0.1,40.19,0.38,15.83,67.64,0
2025-07-20 02:17:00,2,20,7,6,60,20,p2,28,82,998,8.0,285,3,82.51,0.0,0.11,39.81,0.37,15.91,67.49,0
2025-07-20 03:17:00,3,20,7,6,60,20,p2,28,82,998,8.02,282,3,81.98,0.0,0.11,39.96,0.36,15.78,64.85,0
2025-07-20 04:17:00,4,20,7,6,62,22,p2,28,80,999,5.26,282,3,81.64,0.0,0.11,40.39,0.34,15.72,62.59,0
2025-07-20 05:17:00,5,20,7,6,70,28,p2,28,78,999,4.13,284,3,81.2,0.01,0.09,40.88,0.34,16.29,64.39,0
2025-07-20 06:17:00,6,20,7,6,65,24,p2,28,79,999,4.23,265,3,80.27,0.01,0.08,41.11,0.35,17.59,71.05,0
2025-07-20 07:17:00,7,20,7,6,64,23,p2,28,79,998,4.51,264,3,78.78,0.01,0.07,41.1,0.36,19.44,81.55,0
2025-07-20 08:17:00,8,20,7,6,65,24,p2,28,79,998,3.93,259,3,77.15,0.01,0.06,40.88,0.37,21.2,92.05,0
2025-07-20 09:17:00,9,20,7,6,60,20,p2,28,79,997,4.29,270,3,76.25,0.01,0.06,40.86,0.37,22.38,98.34,0
2025-07-20 10:17:00,10,20,7,6,65,24,p2,28,78,997,3.91,277,4,76.28,0.01,0.05,41.39,0.36,23.17,102.29,0
2025-07-20 11:17:00,11,20,7,6,66,25,p2,28,79,997,4.8,259,4,76.77,0.01,0.05,42.46,0.35,23.45,102.91,0
2025-07-20 12:17:00,12,20,7,6,63,22,p2,28,80,997,4.5,261,4,78.22,0.01,0.06,44.89,0.33,23.34,100.54,0
2025-07-20 13:17:00,13,20,7,6,62,21,p2,28,81,997,4.62,254,4,76.52,0.01,0.08,44.73,0.36,23.35,102.62,0
2025-07-20 14:17:00,14,20,7,6,62,21,p2,28,82,997,4.88,250,4,75.49,0.0,0.09,45.21,0.37,22.81,101.79,0
2025-07-20 15:17:00,15,20,7,6,64,23,p2,28,83,998,5.15,235,3,74.75,0.0,0.1,45.66,0.38,22.34,99.89,0
2025-07-20 16:17:00,16,20,7,6,71,28,p2,28,85,998,5.67,241,3,74.78,0.0,0.1,46.2,0.38,22.01,98.01,0
2025-07-20 18:17:00,18,20,7,6,73,30,p2,28,85,999,5.73,242,3,76.28,0.0,0.09,47.73,0.39,22.51,99.96,0
2025-07-20 19:17:00,19,20,7,6,71,29,p2,28,84,998,5.73,252,4,76.74,0.0,0.09,48.2,0.39,23.21,104.2,0
2025-07-20 20:17:00,20,20,7,6,73,30,p2,28,84,998,5.72,255,4,77.21,0.0,0.09,48.44,0.39,24.14,110.2,0
2025-07-20 21:17:00,21,20,7,6,70,28,p2,28,84,998,5.76,259,4,77.05,0.0,0.09,48.24,0.39,25.55,118.84,0
2025-07-20 22:17:00,22,20,7,6,65,24,p2,28,84,998,5.52,256,4,76.55,0.0,0.09,47.87,0.39,27.11,126.81,0
2025-07-20 23:17:00,23,20,7,6,67,26,p2,28,84,998,5.5,256,4,75.68,0.0,0.09,47.42,0.39,28.22,130.25,0
2025-07-21 00:17:00,0,21,7,0,70,27,p2,27,85,998,5.64,257,4,74.75,0.0,0.09,47.09,0.38,28.55,129.04,0
